meal_of_the_day,breakfast_of_the_week,dinner_of_the_week,fast_food_of_the_week,vegetable_in_meal,water_of_the_day,protein_of_meal,time_do_exercise,time_of_sport,alcohol,nicotine,sleep_time,require_of_job,park,time_use_tech_equip,depression,obesity
2,Từ 1 - 3 bữa/tuần,Không ăn,Không ăn,Từ 50 - 100 gram,Từ 1 - 2 lít,Ít hơn 50 gram,Dưới 1 giờ,Gần như không,Không,Không,9,1,Không,4,Không,1
3,Từ 3 - 6 bữa/tuần,Mỗi ngày,Không ăn,Từ 50 - 100 gram,Từ 1 - 2 lít,Từ 50 - 100 gram,Gần như không,Gần như không,Không,Không,8,4,Không,2,Không,3
2,Không ăn,Từ 1 - 3 bữa/tuần,Không ăn,Từ 50 - 100 gram,Từ 1 - 2 lít,Từ 50 - 100 gram,Gần như không,Gần như không,Không,Không,8,3,Không,5,Không,0
3,Mỗi ngày,Mỗi ngày,Từ 1 - 3 bữa/tuần,Từ 50 - 100 gram,Từ 2 - 3 lít,Trên 100 gram,Trên 3 giờ,Trên 4 giờ,Không,Không,6,1,Có,1,Không,1
2,Không ăn,Không ăn,Từ 1 - 3 bữa/tuần,Ít hơn 50 gram,Ít hơn 1 lít,Từ 50 - 100 gram,Dưới 1 giờ,Dưới 2 giờ,Ít,Không,3,2,Không,4,Không,0
2,Không ăn,Từ 1 - 3 bữa/tuần,Không ăn,Ít hơn 50 gram,Từ 2 - 3 lít,Từ 50 - 100 gram,Trên 3 giờ,Gần như không,Không,Không,7,1,Không,8,Không,3
2,Từ 3 - 6 bữa/tuần,Mỗi ngày,Không ăn,Từ 50 - 100 gram,Ít hơn 1 lít,Ít hơn 50 gram,Gần như không,Dưới 2 giờ,Không,Không,8,1,Không,4,Không,2
3,Từ 1 - 3 bữa/tuần,Từ 1 - 3 bữa/tuần,Từ 3 - 6 bữa/tuần,Từ 50 - 100 gram,Từ 2 - 3 lít,Từ 50 - 100 gram,Từ 1 - 3 giờ,Dưới 2 giờ,Ít,Không,8,4,Có,5,Không,1
3,Mỗi ngày,Không ăn,Không ăn,Trên 100 gram,Từ 1 - 2 lít,Trên 100 gram,Từ 1 - 3 giờ,Gần như không,Không,Không,7,3,Không,1,Không,2
3,Từ 3 - 6 bữa/tuần,Không ăn,Không ăn,Ít hơn 50 gram,Ít hơn 1 lít,Từ 50 - 100 gram,Dưới 1 giờ,Dưới 2 giờ,Không,Không,7,2,Không,0,Không,1
3,Từ 3 - 6 bữa/tuần,Không ăn,Từ 1 - 3 bữa/tuần,Từ 50 - 100 gram,Từ 1 - 2 lít,Từ 50 - 100 gram,Dưới 1 giờ,Dưới 2 giờ,Không,Không,9,1,Không,1,Không,0
3,Từ 3 - 6 bữa/tuần,Không ăn,Không ăn,Trên 100 gram,Từ 1 - 2 lít,Trên 100 gram,Gần như không,Dưới 2 giờ,Không,Không,10,2,Không,4,Không,1
3,Mỗi ngày,Từ 1 - 3 bữa/tuần,Không ăn,Từ 50 - 100 gram,Từ 2 - 3 lít,Từ 50 - 100 gram,Dưới 1 giờ,Từ 2 - 4 giờ,Không,Không,6,3,Có,2,Có,2
3,Mỗi ngày,Từ 1 - 3 bữa/tuần,Không ăn,Ít hơn 50 gram,Ít hơn 1 lít,Ít hơn 50 gram,Gần như không,Dưới 2 giờ,Không,Không,7,1,Không,6,Không,3
2,Từ 1 - 3 bữa/tuần,Từ 3 - 6 bữa/tuần,Từ 1 - 3 bữa/tuần,Từ 50 - 100 gram,Ít hơn 1 lít,Trên 100 gram,Từ 1 - 3 giờ,Dưới 2 giờ,Không,Không,7,1,Không,3,Có,1
2,Từ 1 - 3 bữa/tuần,Không ăn,Từ 1 - 3 bữa/tuần,Từ 50 - 100 gram,Từ 1 - 2 lít,Từ 50 - 100 gram,Gần như không,Dưới 2 giờ,Ít,Không,5,3,Không,4,Có,1
3,Mỗi ngày,Không ăn,Từ 1 - 3 bữa/tuần,Từ 50 - 100 gram,Từ 1 - 2 lít,Từ 50 - 100 gram,Trên 3 giờ,Trên 4 giờ,Không,Không,8,1,Không,5,Không,1
